id	rating	content
8	3	Shop gói hàng không cẩn thận gì hết á.  Hk có hộp cartun bên ngoài luôn. Mpvc thì ghtk vs ghn hk áp dụng được. Nhờ shop thêm nvc khác cũng hk them cho khách bớt tiền ship nữa . Thái độ phục vụ của nv shop rất kém luôn. Sản phẩm thì tốt ko j phàn nàn. 
8	2	Máy đợt này không đẹp bằng đợt trước.  Tuy mình đặt cùng 1 ngày nhưng 2 đơn giao cùng 1nvc luôn.  Nhưng máy mình nhận hnay cái võ đt to hơn cái bàn phím ko khít vs máy.  Hộp thì xấu méo mó muốn rách luôn.  Nói vs shop khâu đóng gói mà vẫn ko khắc phục. Lần này tệ quá 
8	2	hàng ok, nhưng mua 4 cái có 1 cái bị hư cục pin, chán thiệt
8	1	Sản phẩm đã bị bóc tem pin và tem màn hình. Màn hình bị trầy xước nhiều. Pin đã bị sử dụng hết.
8	1	Cũng ko biết nên rep gì? Nuốt 173k đó mà sống tốt.. 
13	5	Ship nhanh. Hàng OK. Hài lòng mức độ 8,5/10. Giá tốt. Tks shop. 
13	5	Sản phẩm như hình tuy nhiên giao hàng quá lâu đợi tận một tuần mới nhận đc hàng ! Bên ship làm lề mề quá 
13	4	Pin lâu loa hơi rè tạm ổn. Sản phẩm giống như hình nhỏ nhỏ xinh xinh. Giao hàng nhanh
13	4	Giá ổn trong những shop bán loại này, có chức năng như tai nghe Bluetooth, có thể gọi trực tiếp từ đt này không cần mở đt chính (nếu dùng máy 2 sim thì phải gán sim gọi cố định). Con màu Ghi màn hình ráp ko được thẳng nên cho 4*
13	3	Nhìn cưng xỉu
13	3	Không có báo rung . Không có loa ngoài chuông rất nhỏ. 
13	2	Thiếu củ sạc. Sạc không vào
13	2	Dép đẹp lắm mọi người, nhưng giao không đúng màu, ghét cho 2 sao cho đã cái nư🙂🥰🥰
13	1	Điện thoại cũ đã qua sử dụng và bị liệt bàn phím số 3 
13	1	Shop làm ăn không có uy tín, máy lỗi nt shop kiểu gởi lại tứ lúc gởi lai đến nay 2 tuần mà chưa , đổi gởi lại cho khách, nt thi ko thèm trả lời. . MN LƯU Ý MÁY LỖI CỨ BẤM TRẢ HÀNG TRÊN SHOPEE ĐỪNG NGHE LỞI SHOP MÀ GỞI BÊN NGOÀI, CHỜ MÃI MÀ VẪN CHƯA CHUYỂN HÀNG LẠI CHO KHÁCH, LÀM ĂN KIỂU MẤT UY TÍN
16	5	Qua test thử mấy hôm mà thấy mọi thứ đều ok, màu xanh đẹp lắm chả lỡ mua ốp bọc kín nữa, lúc mới nhận hơi lo vì bao bì méo mó, hàng giá trị nếu shop đóng hộp cứng hơn nữa thì tốt
16	5	Hàng mới nguyên seal, máy mới tinh k vết, mua được giá rẻ lúc 12.12.
16	4	Giá oke, Thời gian giao hàng nhanh chóng oke,. Dùng 1 thời gian rồi thấy khá ổn, nhưng tai nghe thì  cắm lúc được lúc không nên hơi nản
16	4	Hàng chính hãng, mua ngày ngày sale nên nhận hàng khá lâu nhưng mua dc giá tốt hehe
16	3	Hiện đã dùng được 1 ngày cảm, nhận thấy điện thoại chạy tạm ổn. Camera lúc quay phim ở chế độ 1080p 60 fps rất mờ, chính sách bảo hành 30 ngày 1 đổi 1 nhưng phải gửi lại trung tâm bảo hành để bung máy ra, họ xem xét chán chê rồi mới được đổi chứ không phải được đổi ngay. Nhìn chung chính sách KÉM. 
16	3	Đặt màu xám giao màu xanh mặc dù trên hộp vẫn ghi màu xám. Chả hĩu shop làm ăn kiểu gì.
16	2	Đặt màu xám lại giao màu xanh. Bé em m nhận ko để ý nên bóc luôn. Shop nói mở rồi ko trả nữa. M phải thuyết phục mãi nó mới chịu dùng. Khóc tội lắm. Máy nhiều lỗi. Bật màn hình sáng 5s mới sáng. Báo shop thì bảo mang tới trung tâm bảo hành tận đà nẵng. Thấy phiền nên thôi. Mua 3 con rồi đến con này 
16	2	Giao rất chậm. Đặt màu xám, note rõ vui lòng lấy đúng màu xám đã đặt nhưng vẫn cố tình giao màu xanh. Cảm giác ko được tôn trọng.
16	1	Đi xe máy qua lấy chắc nhanh hơn. Tầm 30 phút thôi. 2 ngày chưa thấy lên đơn vận chuyển, khách hỏi thì mới rép . Tui thanh toán tiền trước qua thẻ có vẻ bị phân biệt đối xử nhỉ. 
16	1	ib hỏi khiếu nại thì chặn. cho 1 sao thì lại kêu đối thủ cạnh tranh xấu. tôi bỏ tiền triệu ra mua sp chỉ để cạnh tranh cái 1 sao à. 
17	5	Cảm nhận về điện thoại như sau:. Ưu điểm: Màu sắc tươi sáng, cầm nhẹ tay, nhỏ gọn nên phù hợp bỏ vào túi quần hoặc túi áo.. Nhược điểm: Pin khá cùi, tầm 1 ngày hơn là tụt pin khủng khiếp 😱. . 
17	5	Đóng gói kỹ. Sản phẩm nghe gọi tốt. Thời gian giao hàng nhanh....
17	4	Điện thoại tạm được 
17	4	Pin yếu
17	3	Mọi chức năng ok mỗi tội vỏ lõm và màn hình lô nhìn rất nhức mắt.. Giá thì tốt rồi. Không pin sạc thì 240k mua tầm này thì xác định vậy nhé cả nhà.. Màn lô. Vỏ lõm. Phím hở. Phần mềm xi đa (xem video sẽ thấy folder ô vuông). Có điều kiện nên lấy hàng tồn kho full box hay hơn giá gấp 10 lần haha. Shop ok
17	3	Hàng ok, có điều là hàng độ lại vỏ rời rạt. Xài tạm đc.. Xạc hoài mà máy không thấy báo đầy pin
17	2	Máy k hiển thị được thời gian lên màn hình. Pin nhanh hết. Đang test 3 lần sạc xả xem có đỡ hao không. Ngoài ra mọi thứ ổn
17	2	Dt thi ok....nhung co dieu song mang yeu qa...ko biet phai lam sao....nhiu khi gia dih dt nhug ko nge duoc.....xin hoi shop h phai lam sao....
17	1	Qua 1tuần sử dụng tôi đánh giá như sau:.     * Nhận về chốt giữ sim cong không lắp dc sim.     *imie này in lại dòm rất tệ,điểm tiếp xúc với pin lỏng lẻo,vỏ mới mak cong đủ kiểu.      *Mọi người đừng lấy pin của shop ,sạc đầy để chế độ chờ mak nữa ngày báo pin yếu,bị ăn nguồn pin lởm,269k về bỏ...TỨC 
17	1	máy sộc sệch bụi nhiều dùng dk tuần kẻ đen màn hình shop ko đổi cho chán !
18	5	Giao hàng nhanh lắm í ạ<3. Mình đặt lúc sinh nhật shopee mà giao hàng siu nhanh luôn. Đóng gói cần thận nè, hộp điện thoại không bị méo hay gì luôn. Nói chung là đth oke hết. Ưng lắm á
18	5	Đóng gói cẩn thẩn, vừa quấn bọc vừa có xốp nhét bên trong . Sẽ ủng hộ tiếp ạ
18	4	Máy đẹp, fullbox. Tuy nhiên dòng giá rẻ nên không được mượt lắm.
18	4	Giáo hàng nhanh, đóng gói cẩn thận, sản phẩm chất lượng ok........
18	3	Máy đc phân phối bởi TQ nên cũng hơi lo lắng. Nhưng đc kích hoạt bảo hành điện tử nên yên tâm hơn
18	3	
18	2	Đã nhận hàng, nhưng không phải chính hãng của samsung VN. Hàng TQ nên chắc không được bảo hành của ss VN rồi. Chất lượng sẽ chờ đợi vì ko tin tưởng TQ lắm
18	1	Máy xử lý chậm, màn hình hiển thị trung bình, sạc hỏng, liên hệ đổi sạc thì shop bảo liên hệ với Trung tâm bảo hành, tháng trước mua tivi thì chưa thấy kích hoạt bảo hành, bán hàng vô trách nhiệm, sạc hỏng cũng cho vào hộp để bán, quá thất vọng cho 1 thương hiệu, bài học cho việc mua sp trên mạng!
18	1	Đt gọi fb và zalo bên kia k nge đc tiếng là sao
21	5	123456789012345678901234567890 123456789012345678901234567890
21	5	1234567890987654321234567880998888877766655555444444333332222211122233344444555566667777889909876544332123456678899987765323455667272828e8e8e8e88e737373
21	4	Mới nhận thấy ưng ý nhưng bỏ pin vào chua khởi nguồn thì mang hình đã sáng, chỉ tháo pin mới tắc nên chỉ đc 4sao thôi. 
21	4	Giao hàng nhanh. Pin và củ xạc rất xịn xò, nhưng máy màu đen màn hình bị cũ quá nên bị mấy gạch trắng, không biết tuổi thọ có sao không?. P/s: Shop nên xóa hết danh bạ cũ trước khi giao cho khách nhé!
21	3	Dùng tạm thôi mng ạ, e k biết như nào chứ e dùng đc 1 tuần nó k lên hình nữa luôn :))
21	3	tạm
21	2	Đời người nào ai chẳng mong. Mỗi khi đau buồn nhiều hay khốn khó. Sẽ có lúc khi thấy tâm hồn. Cần sẻ chia những kỷ niệm cũ. Bạn tôi ơi xin hãy nhớ đến nhau. Tình bạn là khi chúng ta. Biết quan tâm thật nhiều. Không tính toán. Một ánh mắt lo lắng khi bạn. Nhìn thấy tôi mất đi niềm tin. Tình bạn chúng ta thật q
21	2	Giao hàng chậm, lâu. Máy mới khởi động, mà thấy hơi lag. Còn bền hay không còn phải đợi 1 thời gian 
21	1	Mới mua k lên màn. Sạc cũng k lên 😕
21	1	Bán làm ơn đặt cái tâm lên , mua về ko gắn sim đc , nguồn tự sập liên tục. Mua cho mẹ ở nhà dùng mà bán kiểu khốn nạn, nếu thế ghi cha từ đầu đi.
22	5	Đóng gói cẩn thận, kỹ lưỡng, sản phẩm đẹp, nhỏ gọn, mới 💯, chất lượng thì chưa đánh giá được, hình ảnh sắc sảo... 
22	5	Điện thoại mua cho mẹ mình dùng chủ yếu để lướt web 1 chút, sài cũng tốt. 1 lần sạc dùng đc 6 ngày. Trừ lần đầu sạc máy bị nóng thì đến giờ vẫn ok. Nhận máy xong tầm 3 ngày sau có tin nhắn gửi mã bảo hành về máy mình. Ncl chất lượng ok
22	4	Mình mua giá flashsale nhưng ko phải tốt nhất. Hàng xinh nhỏ gọn. Nói chung khá ưng. Chỉ có cái cảm giác mong manh dễ vỡ, khó tìm ốp lưng và dán màn hình càng khó, chỉ có thể đặt mua từ TQ ^^' 
22	4	
22	3	
22	3	
22	2	
22	2	Méo thể tin được, Nkim bán giá bt 1590, lên đây mua 12/12 tưởng được hời ai dè sale 1790 mã giảm 100k, còn mắc hơn ra showroom mua, khoe hời bị bạn chửi ngưu, không có cái nhục nào bằng, máy ok, nhưng sẽ không quay lại mua, bbi
22	1	Điện thoại dùng 3 ngày thì chết nguồn. Nt shop thì bảo khách bấm nhận hàng rùi nên ko thể đổi trả. Phải mang lên hãng bảo hành, mất thêm 200k nữa. Chán
26	5	Giao hàng nhanh. Sản phẩm như quảng cáo. ...................
26	5	Đã mua lần thứ 2 và vẫn đánh giá 5 sao, đúng hàng, sp ok. Tuyệt vời 👍
26	4	Bọc gói cẩn thận, giao hàng nhanh, lắp điện thoại ko khít,khe hở nhìn rõ bên trong,màn hình đt hơi xước xíu, loa to,nhưng to nhất hơi rè, gọi điện, ntin ok, ko có chế độ rung, ko có đổi giọng.
26	4	Sp bé hơn tưởng tượng nhiều. Giống như đồ chơi, giá hơi cao so vs sp
26	3	Điện thoại  tạm được. Có khe để thẻ nhớ nhưng xài không được. 
26	3	Điện thoại nghe gọi ổn, vừa mới lấy hàng nhưng pin đã bị phồng, nắp sau ko khít.
26	2	Không lên nguồn, câm sạc 2 tiếng cũng không lên. Đề nghị đổi lại
26	2	mua 2 cái lỗi 1 cái gắn sim ko có sóng 
26	1	Hàng không có củ sạc thích chơi thì mua còn không thì đừng dại
26	1	Mua 2 sản phẩm . Nghe là để được cả 2 sim . Nhưng chỉ màu đen để được 1 sim . Màu đỏ không sử dụng được . Phản hồi thì trả lời một câu , rồi biến mất . Quảng cáo thì bảo hành . Mà sử dụng k được nhắn tin thì biến mất . Mọi người nên xem lại shop . Tiếc ... 
31	5	
31	5	Có 1 chút trục trặc giao hàng nhưng chắc do bão. Lần mua hàng này rất nhiều cảm xúc. Cửa hàng nhiệt tình, l mình tìm đúng chỗ uy tín. 5sao cho cách phục vụ của shop. Cảm ỏn rất nhiều. Các bạn nên mua_nhes
31	4	Hàng đẹp đáng đồng tiền k biết có bền k thôi nhưng ok nha 
31	3	Điện thoại thì xinh đấy nhưng mặt đt xước rất ghê. Ko có miếng dán nào trên màn hình cả. . Và giống như đt dùng rồi, có cả danh bạ đt rồi! 
31	2	Điện thoại thì ok, có cap sạc. Nhưng có vẻ hàng đã bị bóc ra vì tôi đã từng mua 1 cái r, hộp có dấu bóc, trong hộp chỉ có điện thoại và chân sạc, lần trước tôi mua còn có cái ốp nhựa chống xước và có cả cái bọc đầu tai nghe kèm thêm cái quai nhựa để múc vào tai. Nhưng lần này không có. Phục vụ rất k
31	1	Man hinh may bi chây hêt.giao hang lâu bán hang k nhiet tinh. . 
31	1	Da nhan dc hang .pin nha het .moi dung dc 10 fut da het 3vach . Bao ho tro tien cuoc vay mà vẫn thanh toán 184
34	5	Pin 6000 nhưng mình thấy khá nhẹ, nhẹ hơn con Redmi 9 pin 5000. Màn hình FHD tuy nhiên không quá bự. Máy không đi kèm ốp và dán màn hình nên nếu mọi người quyết định mua thì mua luôn ốp trên shopee, vừa rẻ vừa đẹp. Do mình mua cho mẹ, chỉ xài các tác vụ cơ bản nên thấy khá mượt, chụp hình tương đối
34	5	Giao hàng nhanh giao nhanh và đóng gói rất tốt, không móp méo hộp. Samsung giao nhanh, shopee xử lý đơn lẹ. Điệm thoại nguyên seal tốt chất lượng
34	4	Mình vừa nhận máy.. Máy đẹp, chưa biết dùng ổn ko nhưng mua cho người lớn tuổi dùng chắc ko đến nổi nhỉ.. Được cái GHN quá xuất sắc, kỹ lưỡng và nhanh hơn những đơn vị khác. M.ng nên chọn GHN nhé!
34	4	Nhận xét sau vài ngày sd. Máy dùng nóng. Camera chụp k đẹp. Pin báo 6000. Nhưng sài lướt web sơ sơ. K chơi game. Ngày sạc 1 lần mới đủ
34	3	Đã nhận hàng,đóng gói cẩn thân. Tuy nhiên chưa kích hoạt được bảo hành. Mình yêu cầu hỗ trợ
34	3	Hàng nguyên seal mà Phụ kiện bị thiếu dây sạc.. lần đầu tiên mua mà khá thất vọng...
34	2	Sau 2 tuần xài thì mình xin nhận xét như sau.quảng cáo pin khủng 6000mah mà sạc100%.dùng 2 phút tụt pin liền.pin nhanh hết.chưa đến 1 ngày đã phải sạc lại.cải tiến mới nhưng k tìm hiểu sự cần gì của khách hàng.đó là k có bộ nhớ tạm như dòng j7 prime. Bộ nhớ tạm rất cần thiết vậy mà k có.
34	2	Shop giao đúng hàng, shop đóng gói cẩn thận, hàng nguyên tem nhưng đã bị khui seal nên cho 2 sao, đã bị xé 1 bên hộp, chưa hài lòng lắm về vấn đề hộp bị xé rách, nên kiểm tra lại cách bán hàng. 
34	1	Lần đầu tiên mua mà bị trường hợp này. . Mở gói hàng ra thỳ hộp đt đã bị bóc và mất thân máy ở trong.. Do mình cũng chủ quan ko quay lại video cẩn thận khi bóc hàng. Bài học đắt giá
34	1	Hàng nguyên vẹn có tem niêm phong, nhưng đánh giá dịch vụ shop rất kém. Ghi là bán hàng ở hcm nhưng thực ra từ từ hà nội. Thời gian ship rất lâu. Shop ko hỗ trợ khi phản ánh 5 ngày vẫn chưa nhận dc hàng, trả lời như 1 con robot và đùn đẩy việc check ship cho khách. Thất vọng về samsung mall
47	5	Oke lắm lun mới gắn vô đã lên nguồn luôn òi xịn cho 10 điểmmmmmm
47	5	Sp đúng màu đúng loại, đủ số lượng chất lượng chưa pít, dùng tạm đc,...................,.................
47	4	Ngoại trư vỏ hơi ko khít lắm thì tạm ổn. 
47	4	Sản phẩm tạm được. Pin không tốt lắm. Không dùng mấy mà pin nhanh hết.
47	3	Loa nghe ko rõ
47	3	Điện thoại nhìn vẻ bên ngoài thì mới đẹp. Tuy nhiên pin thì quá yếu, không xài gì để từ sáng đến tối là cạn hết pin.
47	2	Shop chán quá đặt màu xanh lại gửi màu đen. 
47	2	Mẫu mã đẹp, đống gói tốt, có phiếu bảo hành. Có điều đt lỗi, không nhận sim, shop có yêu cầu gửi trả nhưng phiền phức quá, chỉ có 220k coi như mua 1 uy tín của shop. Mong shop buôn bán có tâm hơn!
47	1	Cắm sạc thì k đc. Pin thì nhanh hết. Quảng cáo bảo hành thì k chối bỏ trách nhiệm. Tốt nhất ae đừng nên mua làm j. 
47	1	Bán đt con mẹ gì mà k nge được vậy mấy cha
51	5	Điện thoại như hình. 139k đầy đủ sạc và pin..chỉ nghe và gọi nên mua về dùng nhé,còn lâu dài không biết bền không.pin lắp dk 5h chưa thấy hao vạch pin nào
51	5	Da nhan duoc hang, sp dung mo ta, chat luong tuong doi gia tien, giao hang nhanh
51	4	shop giao hàng nhanh, đóng gói cẩn thận, nhưng ốp lưng bị vênh lắp ko khít
51	4	Hàng dựng, bàn phím, vỏ đã đc thay thế, máy k có mã khôi phục nên k cài pass hoặc reset máy đc hỏi shop cũng k biết nên cho 4* thôi
51	3	Hình thức bên ngoài máy đẹp, chỉ có điều pin ko tốt, nhận cuộc gọi đến là tắt nguồn điện thoại dù đã sạc đầy pin. Pin dùng chưa được 1 ngày đã hết pin. Thôi thì mua làm Kỷ Niệm để Hoài Niệm về NOKIA một thời 😊
51	3	Đã  nhận hàng  rồi tạm ổn màng hình hơi bị lỗi 
51	2	Máy hay lỗi lắp thẻ sim,người già dùng lúc bị thì chịu chết
51	2	Phim kém quá sạc đầy để đc nửa ngày lại sập mà ko dùng j
51	1	Không hiểu sao mới được mấy hôm tự dưng tắt bật nguồn liên tục giờ thì không lên nữa luôn.chất lượng kém
51	1	Chât lượng sản phẩm kém. Chưa dùng mà loa k nghe được, liên hệ bảo hành thì k hồi âm. Mọi người né cái shop này ra để k rước bực vào người. Có 0 sao cũng đánh giá luôn chứ 1 sao gì. Bực quá 😡😡🤬🤬. Dịch vụ quá kém. Vận chuyển tạm
59	5	Hàng đẹp chất lượng ổn. Pin báo bị ảo chút. Kể shop hackphone luôn cho thì tốt
59	5	Máy đẹp. Dùng chắc tay. Mọi người yêu nokia nên mua. Cửa hàng cho hỏi sao tin nhắn cứ nhấp nháy báo gì vậy ak. Tin nhắn thì đến và đi đều ko có tin nhắn mà cứ nhấp nháy như vậy ak. Làm sao để thoát bỏ trường hợp này ak.thanks
59	4	Tốt, đẹp, phù hợp giá, giao hàng nhanh, đóng gói kỹ, sẽ ủng hộ tiếp
59	4	Vỏ thay hơi ọp ẹp và ko khít chặt, phần nhựa đỉnh máy dễ bị hở bụi lọt vào màn sau 2 ngày sd. kính màn hình và kính cam bằg nhựa hơi lởm, dễ xước cực (mìh nhớ ko nhầm vỏ zin là kính chứ ko fải nhựa), máy móc có vẻ rất ổn. Pin ảo báo full liện tục, lúc gần hết tụt luôn 4vạch.Trog tầm giá chấp nhận đc
59	3	máy chuẩn symbian cài app và các tính năng của máy ok. máy hơi nhẹ ko chắc như hàng xịn. tuy nhiên vỏ máy quá tàu nhìn như đồ chơi trẻ con, phím bấm ọp ẹp ko khít.. tình trạng bụi trong màn hình khá nhiều, giữa màn còn bị chết vài pixel, phía sau còn bị tung mảng camera dc dán = keo 2 mặt
59	3	Làm sao để tắt chết độ Offline vây mn
59	2	Máy bị hở, màn hình bụi vào. Có một chấm trên màn hình
59	2	Đt ok còn pin hơi kém yêu cầu chỉnh lý lại
59	1	Liệt đa số phím! K kết nối được intenet 
59	1	Lỗi lung tung máy ọp ẹp chán
63	5	Mua lần n+1 rồi vẫn ưng ạ. Đt hoạt động tốt, màu xinh. Nói chung là okela ạ
63	5	Sản phẩm đẹp rất mini chuẩn đẹp nghe gọi rất ok giao hàng nhanh gọn
63	4	 Tí hon siêu cưng nhưng mà mình đặt màu hồng shop giao cho mình màu cam rồi :(( 
63	4	Hàng đúng như đặt nhưng lưu ý shop về màu thì không được đúng như cần. Hình có mà màu đặt không có.
63	3	Nhận được hàng rồi loa hơi nhỏ nói chung là cũng được chỉ có mỗi thằng ship lơ quá kém kì kèo từ 500 kem ko đáng cho 3 sao
63	3	Đặt shop màu đỏ nhưng shop giao màu cam , bùn shop quá 
63	2	Đặt hàng ghi pin 1000mah khi giao pin có 380 chán lần Sau khỏi đặt hàng nhé 
63	2	Giao ko đúng màu ma đã lựa 
63	1	Can than khi mau hang o shop nay,hang bi loi dt hay nt cung ko tra loi do lua dao ban hang cu
63	1	Pin rất nhanh hết, nt thì sh k phản hồi,pin thì sáng sạc để vậy giữa chiều hết r, pin 380mA mà lừa đảo 1000mA, thật thất vọng
64	5	Giao hàng nhanh điện thoại dùng tạm ổn đây là máy cũ chứ ko phải máy mới. Màn hình hơi bụi tí nhưng ko sao
64	5	Máy tuy cũ nhưng vỏ mới, đáng để mua. Giá rẻ nhưng sản phẩm vừa đẹp vừa gọn. Giao hàng đầy đủ pin, xạc, máy. 
64	4	Ngoại hình khá mới cũng tạm giao hàng ok có điều máy thi thoảng lại bị kiểu giật lag chắc do hàng fake thì phải
64	4	Shop giao tiếp nhiệt tình. Hỗ trợ khắc phục sự cố. Tuy chất lượng sản phẩm không cao
64	3	Aa
64	3	Mới sạc 5 phút , cục sạc bị nổ , bốc khói , không biết máy có ảnh hưởng gì không nữa. Giáo hàng nhanh
64	2	Đã mua lần 1 máy ok. Lần 2 có ng nhờ mua 2 cái mà chất lượng tệ quá, 2 máy thì 1 máy màn lệch, 1 máy màn mờ, nhìn ko ưng chút nào chán chả muốn bảo hành bảo tỏi.
64	2	Điện thoại bị lỗi ở nắp ko khít.
64	1	. Sp lỗi mà nt cả ngày trời shop k tl.mua về mà cắm sạc cứ nháy liên tục dù mất công đi mua thêm cái sạc mới khác cũng k được. Máy thì chày sước hết . Vỏ thì ọp ẹp.thề đây là lần đầu tiên mua hàng mà phải đánh giá 1*. Giờ mua về hết pin sập nguồn k dùng đc coi như vứt đi . Bực cả mình. . 
64	1	Được cái mã . Bên trong loa hỏng rè. 
65	5	Có hơn 100k mà mua được cái điện thoại, rẻ gê luôn. Giao hàng nhanh
65	5	Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm rất đẹp và chắc chắn
65	4	Bị lỗi chập tai nghe khi bật đèn pin. Tắt máy mở lại thì hết. Giao hàng nhanh, đóng gói kĩ.
65	4	Sao máy khong có pin vậy ? 
65	3	Trên hình để giao hàng freeship vẫn tốn ship. Lần trước không đọc kỹ đt ko pin sạc ko hiểu sao ko gộp lại tăng giá lên luôn 1 thể làm phải ship thêm sạc cáp mất thời gian 😢
65	2	đặt đt 2 sim giao đt 1 sim nha shop làm ăn như vậy ko đc 
65	2	K có pin. K có sạc
65	1	Máy điện thoại không có sạc nguồn, không có pin không biết dùng kiểu gì. Quá buồn đề nghị shop hỗ trợ giải thích gấp.
65	1	Điện thoại nghe không rõ, bị rè, sóng chập chờn
66	5	Úm bla bla ok em đã nhận được hàng của shop gửi. rất đẹp mắt, chất lượng không chê vào đâu được, cấu hình cao, mạnh so với giá tiền, mình test các chức năng thấy khá ổn. giá cả hợp túi tiền, mình khá vui vì nhận được sản phẩm đúng như quảng cáo. sẽ giới thiệu người thân ủng hộ shop 👍 
66	5	thật hài lòng khi shop giao hàng đúng như quảng cáo, chất lượng tuyệt vời, màn hình sáng đẹp, cảm ứng nhạy, các ứng dụng hoạt động rất chuẩn, WiFi mạnh mẽ chiến game mê luôn, lướt web xem phim không chê vào đâu được, nói chung mình vừa ý lắm, cảm ơn shop nhé, mình sẽ luôn ủng hộ sản phẩm của shop ,
66	4	Máy ok nhưng pin hết quá nhanh nạp đầy lên mạng k dc 3h
66	3	Gói hàng sơ sài...còn có sẵn facebook nữa
66	3	
66	2	Không có hộp. Tai nghe đểu không nghe được. Xạc không đúng. . 
66	2	Đặt hàng màu đỏ,shop lại giao màu tím,chán shop quá!!!
66	1	Máy đểu nhà các bạn. Dùng đc 4 ngày sập nguồn ko lên được nữa. Nhắn tin shop không trả lời. Thẻ bảo hành ko có cả số điện thoại để gọi. Lừa đảo. Mất luôn mấy triệu vì mua trên mạng.
66	1	
67	5	Shop phục vụ và tư vấn nhiệt tình giao hàng nhanh chất lượg sản phẩm tuyệt với
67	5	­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­­ ­
67	4	Thấy khá là ok. Máy mới nên chưa biết sẽ thế nào
67	4	Ko có tiếng Việt, phải tự unlock cài room :)
67	3	Hàng tạm thời k có vấn đề gì nhưng tệ ở chỗ là shop rất lười rep tn thường là chỉ rep cho có, thậm chí đéo thèm rep 
67	3	Nói chung là máy đẹp. Còn sử dụng thì vô cùng rắc rối. Có rẻ một tý nhưng với người mù công nghệ thì rất phiền. Làm theo shop hướng dẫn nhập email và mật khẩu mình vẫn dùng máy cứ báo là ko đúng. Chán con nhà bà ngán. Tại thấy ghi là full Tiếng Việt mình mới đặt. Hôm sau shop báo hết bản tiếng Việt.
67	2	Giao hàng kém, móp méo như thế này chắc ném cái đt banh xác, đề nghị shop làm việc cẩn thận lại với bên giao hàng
67	2	1. Sản phẩm nguyên seal.. 2. Shop chuẩn bị hàng trong 3 ngày. GHTK lưu kho trong 5 ngày.. 3. Shop không trả lời tin nhắn.. 4. Shop thiếu nhiệt tình khi trả lời cuộc gọi của khách hàng.. Mong Shop cải thiện khâu chuẩn bị và hỗ trợ KH để xứng với mong đợi của KH.
